descricao_transacao,valor_transacao,categoria
Assinatura mensal - Universidade Estácio (fatura do mês),2584.02,Educação
Débito automático - Microsoft 365,174.61,Serviços
Compra online - Correios (pedido via app),270.09,Serviços
Recebimento de dividendos,687.13,Receitas
Pagamento de conta - Pizzaria Forno a Lenha (uso pessoal),391.7,Alimentação
Pagamento de fatura - Bar do Zé (compra à vista),897.8,Lazer
Compra online - Ingresso.com - Show (loja shopping),1012.1,Lazer
Assinatura mensal - Spotify (via cartão cadastrado),28.25,Lazer
Débito - Borracharia Central (uso pessoal),113.64,Transporte
Pagamento de fatura - Açougue Central (via cartão),267.4,Alimentação
Pagamento de salário - Novembro,6506.11,Receitas
Transação - Padaria e Confeitaria Doce Vida (compra à vista),392.31,Alimentação
Pagamento de conta - Embasa (pedido via app),305.12,Moradia
Débito - Ingresso.com - Show,957.26,Lazer
Compra em Padaria Pão Quente (compra do mês),868.9,Alimentação
Aluguel recebido - imóvel próprio,3988.91,Receitas
Transação - AliExpress,424.53,Compras
Serviço prestado - Light (uso pessoal),3030.94,Moradia
Compra online - Posto BR Mania (unidade próxima),145.33,Transporte
Pagamento de conta - Açougue Casa da Carne (via cartão),143.32,Alimentação
Pagamento de salário - Janeiro,6437.66,Receitas
Freelance - projeto 90,4454.27,Receitas
Rendimento de investimento - CDB,3511.9,Receitas
Compra online - XP Investimentos - Aporte (compra do mês),4988.2,Investimentos
Depósito de salário,6493.89,Receitas
Pagamento - Açougue Boi Gordo (unidade próxima),147.2,Alimentação
Compra online - CDB Banco Inter (compra à vista),443.37,Investimentos
Salário mensal - Jornalista,6382.48,Receitas
Consumo em Uber (compra do mês),60.26,Transporte
Aluguel recebido - imóvel próprio,1064.45,Receitas
Consumo em Rappi (uso pessoal),264.29,Alimentação
Renovação de assinatura - Amazon Prime Video (fatura do mês),18.97,Lazer
Compra online - 99 (unidade centro),54.59,Transporte
Transação - Uber (unidade próxima),75.2,Transporte
Serviço prestado - Droga Raia,1842.25,Saúde
Serviço prestado - XP Investimentos - Aporte,1015.45,Investimentos
Pagamento - C&C Casa e Construção (via cartão),1674.99,Moradia
Transação - 99 (via cartão),69.35,Transporte
Pagamento de conta - Clínica Odontológica Sorriso (compra à vista),83.43,Saúde
Pagamento de conta - Dia Supermercados (loja shopping),462.3,Alimentação
Débito automático - Amil (via cartão cadastrado),613.95,Saúde
Transação - Açougue Casa da Carne (compra à vista),368.41,Alimentação
Débito - VLT (compra à vista),374.15,Transporte
Débito - Kabum (pedido via app),957.96,Compras
Débito - Studio de Manicure Nail Art (compra do mês),491.05,Serviços
Recebimento de aluguel de imóvel,4324.49,Receitas
Consumo em Coffee Lab,150.48,Alimentação
Débito - Booking.com,1395.55,Lazer
Cobrança recorrente - Universidade Estácio (renovação do plano),809.17,Educação
Pagamento de conta - Amazon (compra à vista),1412.15,Compras
Compra online - Fundo Imobiliário - Aporte (loja shopping),4247.29,Investimentos
Transação - Fundo Imobiliário - Aporte (unidade próxima),3138.94,Investimentos
Transação - Droga Raia (uso pessoal),234.72,Saúde
Salário mensal - Engenheiro de Produção,11560.77,Receitas
Serviço prestado - Imobiliária Lopes - Aluguel (unidade centro),4168.28,Moradia
Cobrança recorrente - SulAmérica Saúde (renovação do plano),1230.19,Saúde
Assinatura mensal - SulAmérica Seguros (plano mensal),374.81,Serviços
Renovação de assinatura - Amazon Prime Video,15.98,Lazer
Débito - Auto Center Roda Viva (compra do mês),305.44,Transporte
Compra online - CDB Banco Inter (compra do mês),1340.26,Investimentos
Despesa - Cafeteria do Bairro (uso pessoal),849.89,Alimentação
Compra online - Hortifruti Sabor da Terra (unidade próxima),561.97,Alimentação
Compra online - Tesouro Direto - Aplicação (compra do mês),3137.42,Investimentos
Venda de produto usado,1334.33,Receitas
Serviço prestado - UCI Cinemas (via cartão),1442.27,Lazer
Consumo em Tesouro Direto - Aplicação (via cartão),4579.47,Investimentos
Pagamento - Clínica Vida Saudável (uso pessoal),1726.58,Saúde
Compra online - Ingresso.com - Show (unidade próxima),1142.36,Lazer
Transação - Sympla - Evento (unidade centro),1463.16,Lazer
Transação - Bilhete Único (compra do mês),68.39,Transporte
Depósito de salário,11893.92,Receitas
Pagamento de conta - CVC Viagens (unidade centro),532.36,Lazer
Débito - Vivo Fibra (loja shopping),2180.47,Moradia
Cobrança recorrente - Colégio Anglo,2337.34,Educação
Consumo em Ipiranga (via cartão),156.69,Transporte
Débito - Açougue Casa da Carne (unidade centro),452.65,Alimentação
Compra online - Borracharia Central (unidade centro),487.98,Transporte
Pagamento de fatura - Correios (via cartão),235.91,Serviços
Consumo em Uber Eats (loja shopping),471.24,Alimentação
Débito - Auto Center Roda Viva (unidade centro),344.4,Transporte
Mensalidade - Disney+,36.19,Lazer
Serviço prestado - Livraria Saraiva (unidade centro),1475.23,Educação
Mensalidade - iCloud Armazenamento,157.92,Serviços
13º salário - segunda parcela,12659.5,Receitas
Débito - Oi Fibra (compra à vista),3073.62,Moradia
Débito - BTG Pactual - Aporte (compra à vista),4831.76,Investimentos
PLR - Participação nos Lucros,7398.84,Receitas
Recebimento por venda,3726.95,Receitas
Despesa - QuintoAndar - Aluguel (unidade centro),4256.47,Moradia
Consumo em Kabum (pedido via app),1365.06,Compras
Assinatura mensal - Amil,1669.08,Saúde
Despesa - Auto Center Roda Viva (compra à vista),368.48,Transporte
Consumo em Condomínio Edifício Bela Vista,1366.68,Moradia
Compra online - Kabum (loja shopping),1412.74,Compras
Compra online - IPVA,1100.04,Impostos
Consumo em Mercado Livre (compra do mês),1068.94,Compras
Salário mensal - Engenheiro de Produção,12335.44,Receitas
Salário mensal - Engenheiro de Produção,11613.72,Receitas
Compra em Salão de Beleza Charme (pedido via app),390.5,Serviços
Transação - Bob's (unidade próxima),108.94,Alimentação
Pagamento de fatura - Cafeteria do Bairro (pedido via app),468.19,Alimentação
Salário mensal - Médico,14064.99,Receitas
Consumo em Magazine Luiza,1435.55,Compras
Salário mensal - Médico,14882.07,Receitas
Transação - Centauro (unidade centro),2024.2,Compras
Débito automático - Porto Seguro,148.41,Serviços
Despesa - McDonald's (uso pessoal),748.51,Alimentação
Serviço prestado - Casas Bahia (pedido via app),2114.39,Compras
Serviço prestado - Magazine Luiza (pedido via app),1672.98,Compras
Pagamento - Clínica Veterinária Vida Animal (unidade próxima),414.63,Pets
Pagamento de salário - Outubro,14115.6,Receitas
Despesa - Posto Ale,280.58,Transporte
PIX - recebimento,418.34,Receitas
Serviço prestado - Americanas (loja shopping),2289.39,Compras
Compra em C&A (unidade centro),2504.01,Compras
Pagamento de conta - Posto BR Mania (via cartão),277.56,Transporte
Cobrança recorrente - iCloud Armazenamento (via cartão cadastrado),178.95,Serviços
Despesa - Vivo Fibra (unidade próxima),4509.68,Moradia
Pagamento de conta - Padaria e Confeitaria Doce Vida (compra do mês),871.49,Alimentação
Despesa - Hospital São Lucas (unidade centro),401.11,Saúde
Consumo em Americanas (parcelado em 7x),1121.38,Compras
Pagamento de fatura - Riachuelo (pedido via app),573.77,Compras
Compra online - C&A (parcelado em 8x),593.79,Compras
Débito - C&A (parcelado em 5x),186.44,Compras
Pagamento de fatura - Kabum (compra à vista),1575.44,Compras
Transação - Presente Aniversário (pedido via app),497.52,Outros
Pagamento de fatura - Oi Fibra (compra à vista),3978.42,Moradia
Pagamento - Uber (compra do mês),80.73,Transporte
Compra online - Hortifruti Sabor da Terra (unidade centro),614.43,Alimentação
Consumo em Pague Menos (parcelado em 7x),1556.28,Saúde
Transação - Oficina Mecânica Silva (unidade centro),445.88,Transporte
Restituição de Imposto de Renda,1382.76,Receitas
Compra em Amazon (unidade próxima),1494.2,Compras
Compra em Coursera,2626.11,Educação
Pagamento de conta - Fast Shop (compra do mês),573.23,Compras
Consumo em Sympla - Evento,1952.39,Lazer
Mensalidade - Porto Seguro (renovação do plano),350.59,Serviços
Transferência PIX recebida,1669.39,Receitas
Pagamento de fatura - Estapar Estacionamento (via cartão),161.59,Transporte
Compra online - Auto Center Roda Viva (pedido via app),215.78,Transporte
Rendimento de fundo de investimento,3034.22,Receitas
Serviço prestado - Claro Residencial (compra do mês),400.89,Moradia
Assinatura mensal - Microsoft 365,84.92,Serviços
Débito - Petz (unidade próxima),494.77,Pets
Assinatura mensal - Bio Ritmo (fatura do mês),205.46,Saúde
Salário mensal - Médico,15018.27,Receitas
Pagamento - Dia Supermercados (compra do mês),761.62,Alimentação
Pagamento de conta - Atacadão (unidade centro),830.82,Alimentação
Serviço prestado - CDB Banco Inter (loja shopping),3201.31,Investimentos
Transação - Restaurante Sabor Caseiro (unidade centro),653.05,Alimentação
Débito - IPVA (unidade próxima),124.78,Impostos
Compra online - 99,74.39,Transporte
Transação - Udemy (uso pessoal),2172.17,Educação
Serviço prestado - 99 (loja shopping),13.55,Transporte
Consumo em Ônibus Urbano (pedido via app),131.25,Transporte
Compra em Fast Shop (unidade centro),796.01,Compras
Serviço prestado - Imobiliária Lopes - Aluguel (compra à vista),2356.95,Moradia
Salário mensal - Gerente Comercial,11943.23,Receitas
Transação - Cafeteria do Bairro (via cartão),458.82,Alimentação
Recebimento por venda,1450.23,Receitas
Compra em Sympla - Evento (unidade próxima),227.19,Lazer
Despesa - Decolar.com,426.85,Lazer
Serviço prestado - Ônibus Urbano (unidade centro),71.79,Transporte
Débito automático - SulAmérica Seguros,350.25,Serviços
Compra em AliExpress (parcelado em 3x),272.69,Compras
Transação - Borracharia Central (unidade centro),228.17,Transporte
Transação - Cafeteria do Bairro (unidade centro),812.98,Alimentação
Compra em InDriver (pedido via app),24.04,Transporte
Débito - Padaria Pão Quente,809.97,Alimentação
Débito - Açougue Casa da Carne (compra do mês),589.95,Alimentação
Débito - Uber (pedido via app),70.8,Transporte
Transferência PIX recebida,1494.9,Receitas
Serviço prestado - Restaurante Prato Feito (unidade centro),848.8,Alimentação
Pagamento de conta - Uber Eats,638.27,Alimentação
Despesa - Açougue Boi Gordo,40.35,Alimentação
Freelance - projeto 88,3819.83,Receitas
Pagamento de fatura - Hospital Santa Casa,148.68,Saúde
Salário mensal - Gerente Comercial,12309.71,Receitas
Renovação de assinatura - Oi (fatura do mês),57.41,Serviços
Despesa - Vivo Fibra (compra do mês),3885.5,Moradia
Transação - Casas Bahia (loja shopping),217.47,Compras
Pagamento de conta - iFood (compra do mês),529.2,Alimentação
Depósito de salário,11885.62,Receitas
Compra online - CPFL Energia (uso pessoal),397.62,Moradia
Pagamento de fatura - Decolar.com,1028.2,Lazer
Pagamento de décimo terceiro salário,14998.19,Receitas
Cobrança recorrente - iCloud Armazenamento (renovação do plano),335.75,Serviços
Salário mensal - Gerente Comercial,11347.57,Receitas
Compra online - QuintoAndar - Aluguel (pedido via app),4114.51,Moradia
Mensalidade - Claro (renovação do plano),49.62,Serviços
Mensalidade - Colégio Anglo (cobrança automática),2226.27,Educação
Pagamento de conta - Consultório Dentário Dr. Souza (compra do mês),785.38,Saúde
Pagamento de conta - Petrobras (unidade centro),446.15,Transporte
13º salário - primeira parcela,10689.14,Receitas
Serviço prestado - Taxa Bancária (unidade próxima),178.59,Outros
Transação - iFood,317.55,Alimentação
Pagamento de fatura - Petrobras (unidade centro),139.7,Transporte
Pagamento de conta - Estapar Estacionamento (loja shopping),105.22,Transporte
Pagamento de conta - Padaria Pão Quente (via cartão),354.59,Alimentação
Cobrança recorrente - Universidade Estácio (cobrança automática),1994.2,Educação
Pagamento de conta - iFood (compra do mês),874.16,Alimentação
Pagamento - Bob's (compra à vista),722.08,Alimentação
Pagamento de fatura - Boteco da Esquina (compra do mês),254.25,Lazer
Cobrança recorrente - Smart Fit (cobrança automática),120.2,Saúde
Pagamento - Imposto de Renda - DARF,1948.4,Impostos
Despesa - Restaurante Self-Service,505.07,Alimentação
Pagamento - Carrefour (loja shopping),221.43,Alimentação
Pagamento de conta - Correios (uso pessoal),314.69,Serviços
Pagamento por serviço prestado (freelance),1210.12,Receitas
Transação - Presente Aniversário (loja shopping),739.9,Outros
Débito automático - Colégio Objetivo (via cartão cadastrado),1407.92,Educação
Transação - CPFL Energia (unidade próxima),688.92,Moradia
Compra em InDriver (via cartão),12.62,Transporte
Serviço prestado - Aluguel Residencial (unidade próxima),1658.06,Moradia
Compra online - Hospital Santa Casa (loja shopping),1126.83,Saúde
Pagamento de fatura - IPTU (unidade centro),585.34,Impostos
Salário mensal - Cabeleireiro,4594.02,Receitas
Mensalidade - Bluefit (plano mensal),108.16,Saúde
Compra em XP Investimentos - Aporte,941.25,Investimentos
Despesa - Oficina Mecânica Silva (pedido via app),422.64,Transporte
Débito - Estapar Estacionamento (compra à vista),330.76,Transporte
Transação - NET Virtua (compra do mês),1640.93,Moradia
Consumo em Taxa Municipal,1831.54,Impostos
Serviço prestado - Cinemark (pedido via app),540.88,Lazer
Compra online - Clínica Veterinária Vida Animal (pedido via app),396.37,Pets
Pagamento de fatura - 99 (unidade centro),11.49,Transporte
Débito - Cafeteria do Bairro (loja shopping),463.16,Alimentação
13º salário - segunda parcela,3561.23,Receitas
Pagamento de conta - Rappi (uso pessoal),477.67,Alimentação
Pagamento de fatura - Coffee Lab (unidade próxima),585.36,Alimentação
Pagamento de décimo terceiro salário,7493.98,Receitas
Débito - Açougue Boi Gordo (loja shopping),716.35,Alimentação
Venda de produto usado,1811.0,Receitas
Compra online - Americanas (pedido via app),1166.96,Compras
Débito - Restaurante Prato Feito (loja shopping),883.67,Alimentação
Pagamento - McDonald's (pedido via app),349.67,Alimentação
Depósito de salário,4776.54,Receitas
Compra online - Uber (uso pessoal),76.31,Transporte
Pagamento - Correios,465.69,Serviços
Salário mensal - Cabeleireiro,4810.22,Receitas
Salário mensal - Cabeleireiro,4474.11,Receitas
Pagamento de conta - Leroy Merlin (compra à vista),4982.82,Moradia
Pagamento de fatura - Bob's (compra à vista),802.79,Alimentação
Débito automático - Universidade Estácio (via cartão cadastrado),2950.34,Educação
Pagamento de conta - Tesouro Direto - Aplicação (loja shopping),1239.51,Investimentos
Débito automático - iCloud Armazenamento (fatura do mês),166.29,Serviços
Salário mensal - Motoboy,3384.61,Receitas
Consumo em Açougue Casa da Carne (uso pessoal),383.63,Alimentação
Compra em Taxa de Condomínio (pedido via app),4580.27,Moradia
Compra em Papelaria Central (uso pessoal),1281.75,Educação
Compra online - Rappi (unidade próxima),50.29,Alimentação
Pagamento de conta - CDB Banco Inter (compra do mês),4248.73,Investimentos
Compra em Livraria Saraiva (via cartão),1256.78,Educação
Recebimento de dividendos,2184.0,Receitas
Depósito de salário,3376.41,Receitas
Débito - Oficina Mecânica Silva,418.76,Transporte
Pagamento de fatura - Oficina Mecânica Silva,419.84,Transporte
Serviço prestado - Petrobras (unidade centro),117.57,Transporte
Compra online - Amazon (uso pessoal),1139.29,Compras
Débito - Pub Cervejaria Artesanal (unidade centro),226.88,Lazer
Débito - Clínica Vida Saudável (compra à vista),916.69,Saúde
Pagamento de conta - Shopee (unidade próxima),597.51,Compras
Compra online - Casas Bahia,1875.56,Compras
Salário mensal - Motoboy,3240.14,Receitas
Transação - Studio de Manicure Nail Art (loja shopping),330.19,Serviços
Consumo em Açougue Casa da Carne (loja shopping),859.48,Alimentação
Pagamento - Açougue Central (compra do mês),876.22,Alimentação
Pagamento de fatura - Açougue Boi Gordo (loja shopping),795.53,Alimentação
Compra online - Rappi (unidade centro),648.78,Alimentação
Transação - Tesouro Direto - Aplicação (compra do mês),2136.57,Investimentos
Compra online - Comgás (compra do mês),3456.01,Moradia
Assinatura mensal - Colégio Anglo (plano mensal),2849.5,Educação
Serviço prestado - Doação ONG,558.06,Outros
Débito automático - Universidade UNIP (cobrança automática),1585.55,Educação
Compra online - Clínica Veterinária Vida Animal (unidade próxima),132.36,Pets
Transação - Doação ONG (via cartão),652.08,Outros
Pagamento - Fundo Imobiliário - Aporte (via cartão),3975.92,Investimentos
Assinatura mensal - Google One (fatura do mês),361.2,Serviços
Pagamento de fatura - Barbearia Vintage,117.25,Serviços
13º salário - segunda parcela,8423.6,Receitas
Aluguel recebido - imóvel próprio,2632.99,Receitas
Despesa - Restaurante Sabor Caseiro,874.36,Alimentação
Pagamento - Droga Raia (parcelado em 3x),1161.09,Saúde
