usuario_id,idade,sexo,estado_civil,dependentes,cidade,estado,profissao,escolaridade,renda_mensal,outras_rendas,nivel_endividamento,score_credito,saldo_medio_conta,limite_cartao,frequencia_poupanca,percentual_renda_investida,tempo_emprego_anos,possui_financiamento,possui_imovel,possui_veiculo,perfil_financeiro
148,20,Outro,União Estável,0,Pelotas,RS,Médico,Pós-graduação,25957.38,0.0,41.27,631,3357.36,25963.63,Às vezes,10.79,1.1,Não,Não,Sim,Em observação
149,61,Masculino,Casado,0,Cuiabá,MT,Gerente Comercial,Superior,11966.88,0.0,12.03,940,11902.06,31236.89,Frequentemente,30.11,29.3,Não,Sim,Sim,Saudável
150,44,Masculino,Divorciado,2,Guarulhos,SP,Designer Gráfico,Superior,8858.14,0.0,21.32,741,13146.82,13352.6,Frequentemente,32.0,24.9,Não,Não,Sim,Saudável
151,32,Feminino,Casado,0,Rio de Janeiro,RJ,Funcionário Público,Superior,7083.82,507.68,73.19,418,19.89,5341.89,Às vezes,1.44,4.9,Sim,Não,Não,Em risco
152,41,Feminino,Divorciado,0,Belém,PA,Farmacêutico,Superior,7123.62,499.4,12.52,811,5387.43,11551.56,Frequentemente,15.52,6.4,Não,Sim,Sim,Saudável
153,18,Masculino,Solteiro,0,Goiânia,GO,Pedreiro,Pós-graduação,3060.27,0.0,8.76,795,4228.39,7797.53,Às vezes,16.52,0.0,Sim,Sim,Não,Saudável
154,37,Feminino,Casado,2,Vitória,ES,Engenheiro Civil,Superior,10141.47,0.0,32.36,601,1817.79,12031.82,Raramente,12.0,1.6,Não,Sim,Sim,Em observação
155,23,Masculino,Casado,0,Maceió,AL,Jornalista,Superior,5025.41,0.0,55.0,377,424.68,3709.13,Frequentemente,1.44,0.9,Não,Não,Não,Em risco
156,18,Masculino,Solteiro,1,Campo Grande,MS,Motorista,Médio,3723.35,552.81,1.72,970,3266.14,5930.69,Sempre,18.36,0.0,Sim,Não,Não,Saudável
157,23,Masculino,Solteiro,0,Niterói,RJ,Motorista,Médio,2558.02,0.0,45.95,512,647.83,1894.42,Raramente,6.87,1.7,Não,Não,Não,Em observação
158,24,Feminino,Divorciado,1,São Luís,MA,Eletricista,Médio,2195.79,0.0,77.65,464,327.13,598.54,Raramente,0.96,1.1,Sim,Não,Não,Em risco
159,44,Masculino,Solteiro,1,Blumenau,SC,Veterinário,Superior,8216.73,0.0,20.6,827,21574.07,10518.39,Frequentemente,14.54,6.4,Sim,Não,Sim,Saudável
160,57,Feminino,Casado,1,Brasília,DF,Gerente Comercial,Superior,12129.92,0.0,38.15,660,2351.87,6471.43,Raramente,4.9,17.9,Sim,Sim,Não,Em observação
161,44,Feminino,Solteiro,1,Cuiabá,MT,Corretor de Imóveis,Fundamental,8098.16,0.0,58.0,572,921.04,8049.11,Raramente,6.86,19.6,Sim,Sim,Não,Em observação
162,28,Feminino,Divorciado,1,Maringá,PR,Professor,Superior,5514.54,0.0,35.08,609,1270.07,6866.33,Às vezes,4.66,4.3,Não,Sim,Sim,Em observação
163,39,Masculino,Solteiro,0,Teresina,PI,Jornalista,Superior,4222.84,0.0,51.66,595,2589.71,3344.68,Às vezes,6.76,7.0,Não,Não,Não,Em observação
164,41,Feminino,Solteiro,4,Blumenau,SC,Aposentado,Fundamental,2828.8,0.0,44.8,649,1251.69,4495.3,Raramente,9.12,1.9,Sim,Não,Sim,Em observação
165,49,Masculino,Solteiro,1,Manaus,AM,Corretor de Imóveis,Médio,14489.71,0.0,8.73,859,13490.49,45441.94,Frequentemente,13.11,7.9,Não,Sim,Sim,Saudável
166,47,Masculino,União Estável,2,Goiânia,GO,Estudante,Médio,1412.0,0.0,84.79,434,74.55,609.54,Às vezes,0.0,12.5,Não,Não,Não,Em risco
167,31,Feminino,Casado,2,Teresina,PI,Contador,Superior,7224.33,0.0,8.55,850,8911.06,15789.78,Frequentemente,30.28,6.1,Não,Sim,Sim,Saudável
168,48,Feminino,Divorciado,2,Olinda,PE,Motorista,Médio,4675.77,0.0,12.74,853,9564.13,14012.22,Frequentemente,27.63,0.3,Não,Não,Não,Saudável
169,40,Feminino,Solteiro,4,Fortaleza,CE,Médico,Médio,23770.15,1667.96,5.62,966,15958.7,59839.81,Frequentemente,23.61,4.0,Sim,Sim,Sim,Saudável
170,37,Feminino,Solteiro,0,Joinville,SC,Motorista,Superior,3466.82,0.0,44.06,498,1517.37,2697.68,Às vezes,5.3,16.5,Sim,Não,Não,Em observação
171,22,Masculino,Solteiro,0,Maringá,PR,Enfermeiro,Superior,3944.78,318.23,27.43,664,874.48,3625.61,Frequentemente,5.81,1.9,Não,Não,Sim,Em observação
172,40,Masculino,Solteiro,1,São Paulo,SP,Corretor de Imóveis,Médio,10765.4,1058.95,15.14,844,19774.05,28307.69,Às vezes,20.32,2.7,Não,Não,Não,Saudável
173,30,Feminino,Casado,1,Santos,SP,Técnico em Informática,Médio,4867.29,0.0,42.02,615,1486.48,3800.72,Raramente,9.59,5.4,Sim,Não,Não,Em observação
174,36,Feminino,Solteiro,2,Blumenau,SC,Médico,Superior,21299.39,0.0,7.24,722,53983.87,49288.51,Frequentemente,18.25,13.9,Não,Não,Sim,Saudável
175,40,Masculino,Casado,2,Vila Velha,ES,Contador,Superior,7222.05,780.46,46.23,687,3997.11,4774.35,Frequentemente,4.49,19.4,Não,Não,Sim,Em observação
176,35,Masculino,Casado,1,Joinville,SC,Médico,Pós-graduação,25111.1,0.0,14.17,700,17236.08,43793.69,Raramente,24.56,17.0,Não,Sim,Sim,Saudável
177,53,Masculino,União Estável,1,São Luís,MA,Pedreiro,Fundamental,3232.45,176.4,29.39,688,1546.49,2044.29,Frequentemente,9.21,21.8,Sim,Sim,Sim,Em observação
178,18,Feminino,Solteiro,0,São Luís,MA,Enfermeiro,Superior,5491.75,750.92,51.35,578,851.96,2846.11,Às vezes,3.73,0.0,Não,Sim,Sim,Em observação
179,33,Masculino,União Estável,1,Teresina,PI,Jornalista,Superior,2664.52,0.0,68.91,404,128.49,453.12,Raramente,0.38,5.7,Sim,Sim,Não,Em risco
180,42,Masculino,Solteiro,2,Palmas,TO,Vendedor,Pós-graduação,3937.35,0.0,11.48,808,7125.46,5123.07,Frequentemente,24.68,20.1,Não,Sim,Sim,Saudável
181,36,Feminino,Viúvo,0,Vila Velha,ES,Enfermeiro,Pós-graduação,5204.15,1434.99,5.72,829,8184.23,9725.53,Frequentemente,16.06,3.1,Não,Não,Não,Saudável
182,30,Feminino,Solteiro,1,Palmas,TO,Desenvolvedor de Software,Superior,12258.48,0.0,15.19,794,8290.16,24318.63,Sempre,20.95,8.3,Sim,Sim,Não,Saudável
183,34,Feminino,Casado,0,Porto Alegre,RS,Pedreiro,Fundamental,2407.72,0.0,82.32,428,375.82,1030.25,Nunca,1.58,3.9,Não,Não,Sim,Em risco
184,45,Masculino,Viúvo,0,Curitiba,PR,Vendedor,Médio,2511.98,134.03,88.39,315,81.82,1368.93,Raramente,0.0,16.9,Sim,Não,Não,Em risco
185,26,Masculino,Solteiro,3,São Paulo,SP,Empresário,Superior,18923.93,0.0,7.26,911,24857.05,48312.18,Frequentemente,22.71,6.1,Não,Sim,Sim,Saudável
186,49,Feminino,Casado,0,Recife,PE,Desenvolvedor de Software,Superior,10970.65,0.0,33.11,541,1458.75,7065.88,Às vezes,8.13,1.4,Não,Não,Sim,Em observação
187,47,Feminino,Casado,0,Florianópolis,SC,Professor,Superior,2416.24,0.0,74.53,341,210.3,657.83,Nunca,2.33,9.4,Não,Não,Não,Em risco
188,38,Feminino,Solteiro,1,Campo Grande,MS,Recepcionista,Médio,2383.01,0.0,58.0,579,426.09,3065.01,Raramente,8.32,14.7,Não,Não,Não,Em observação
189,52,Masculino,Solteiro,0,Maceió,AL,Vendedor,Médio,3105.31,0.0,50.45,629,1392.86,3579.82,Nunca,2.59,11.3,Não,Não,Não,Em observação
190,27,Feminino,Divorciado,3,Juiz de Fora,MG,Professor,Superior,6479.13,0.0,9.35,810,14277.84,17880.08,Às vezes,14.76,7.1,Sim,Sim,Sim,Saudável
191,38,Masculino,União Estável,1,Cuiabá,MT,Analista Financeiro,Superior,11276.13,851.54,9.9,700,21827.18,22298.01,Frequentemente,25.26,6.6,Sim,Sim,Sim,Saudável
192,37,Masculino,Viúvo,4,Florianópolis,SC,Corretor de Imóveis,Médio,5787.64,0.0,78.3,369,153.0,2499.64,Raramente,1.61,2.3,Não,Não,Sim,Em risco
193,58,Masculino,Divorciado,3,Feira de Santana,BA,Funcionário Público,Superior,6399.74,0.0,83.43,440,-21.38,1075.05,Nunca,1.95,15.7,Sim,Sim,Sim,Em risco
194,68,Masculino,Solteiro,0,Cuiabá,MT,Desenvolvedor de Software,Superior,7981.53,0.0,34.22,660,1824.24,9590.22,Frequentemente,12.0,17.4,Sim,Não,Sim,Em observação
195,48,Masculino,Divorciado,1,Campinas,SP,Professor,Superior,6713.6,0.0,1.18,955,10913.62,10606.63,Sempre,11.95,11.1,Não,Não,Sim,Saudável
196,33,Masculino,Casado,0,São Luís,MA,Cozinheiro,Superior,3718.36,0.0,10.91,958,5946.42,7528.04,Sempre,16.53,1.9,Não,Não,Não,Saudável
197,30,Feminino,Casado,0,Londrina,PR,Estudante,Médio,1412.0,0.0,38.51,520,230.62,2077.9,Às vezes,1.0,8.6,Sim,Não,Não,Em observação
198,40,Masculino,Solteiro,1,Feira de Santana,BA,Engenheiro Civil,Pós-graduação,9911.74,0.0,81.13,301,342.16,2366.69,Nunca,1.99,6.8,Sim,Sim,Não,Em risco
199,49,Masculino,Solteiro,2,Blumenau,SC,Professor,Superior,3631.74,0.0,78.06,406,642.83,1552.27,Nunca,0.17,2.5,Sim,Não,Sim,Em risco
200,52,Feminino,Casado,1,Fortaleza,CE,Recepcionista,Médio,2370.09,0.0,78.81,361,438.99,561.81,Às vezes,1.52,4.1,Não,Sim,Não,Em risco
201,69,Masculino,Casado,1,Belém,PA,Corretor de Imóveis,Médio,10512.89,0.0,44.79,554,1815.56,10343.01,Às vezes,8.53,1.9,Sim,Sim,Não,Em observação
202,22,Feminino,Solteiro,0,Manaus,AM,Farmacêutico,Fundamental,8879.17,0.0,8.27,700,20950.61,20505.32,Sempre,26.38,3.9,Não,Não,Sim,Saudável
203,38,Masculino,Solteiro,1,Fortaleza,CE,Motorista,Médio,4022.47,0.0,16.04,956,7045.29,6651.34,Sempre,23.33,9.3,Sim,Sim,Sim,Saudável
204,32,Feminino,Casado,1,Manaus,AM,Veterinário,Superior,5084.85,0.0,59.94,459,-69.5,2562.7,Nunca,0.5,5.0,Sim,Não,Não,Em risco
205,40,Masculino,Solteiro,3,Maceió,AL,Aposentado,Médio,5158.06,302.05,27.97,491,1531.82,8193.35,Às vezes,6.36,3.3,Não,Não,Não,Em observação
206,51,Feminino,Casado,1,Goiânia,GO,Eletricista,Pós-graduação,4084.41,0.0,21.7,739,3335.06,12716.57,Frequentemente,16.91,10.7,Não,Não,Sim,Saudável
207,45,Masculino,Casado,3,Porto Alegre,RS,Motorista,Médio,3117.01,0.0,19.28,749,7235.63,9927.77,Frequentemente,12.13,23.3,Não,Sim,Não,Saudável
208,41,Feminino,Divorciado,0,Vila Velha,ES,Motoboy,Fundamental,3038.59,226.68,39.45,662,1647.8,4415.27,Nunca,6.85,3.4,Não,Não,Não,Em observação
209,44,Outro,Solteiro,2,Cuiabá,MT,Gerente Comercial,Superior,13681.41,1230.0,0.0,953,22770.87,27866.01,Frequentemente,12.99,15.5,Não,Sim,Sim,Saudável
210,63,Feminino,Divorciado,0,Teresina,PI,Analista de TI,Superior,9806.42,2785.65,23.16,700,20876.86,22895.85,Sempre,22.6,21.4,Não,Sim,Sim,Saudável
211,31,Masculino,Casado,0,Belo Horizonte,MG,Aposentado,Médio,2818.1,0.0,25.89,480,1420.42,1483.28,Às vezes,5.9,2.4,Não,Não,Sim,Em observação
212,48,Feminino,Casado,3,Recife,PE,Funcionário Público,Pós-graduação,7656.28,0.0,58.0,646,3279.34,10651.24,Às vezes,6.55,28.3,Não,Não,Sim,Em observação
213,28,Feminino,Solteiro,1,Joinville,SC,Vendedor,Médio,3721.58,280.77,34.26,546,551.85,2564.21,Às vezes,6.6,3.1,Sim,Não,Não,Em observação
214,50,Masculino,Solteiro,0,Maringá,PR,Cabeleireiro,Médio,5724.53,0.0,16.23,1000,11784.86,14644.11,Sempre,11.12,23.8,Não,Sim,Não,Saudável
215,34,Feminino,Solteiro,3,Uberlândia,MG,Veterinário,Superior,7100.23,0.0,44.06,522,3670.27,9485.95,Raramente,8.28,3.6,Sim,Não,Não,Em observação
216,35,Masculino,Divorciado,2,Belém,PA,Contador,Superior,10852.59,0.0,14.77,741,22549.07,28852.91,Frequentemente,18.3,9.1,Sim,Sim,Sim,Saudável
217,53,Feminino,Casado,0,Recife,PE,Analista Financeiro,Superior,9504.32,0.0,17.35,839,13443.96,25685.97,Sempre,20.45,6.4,Não,Não,Sim,Saudável
218,32,Feminino,Solteiro,0,Blumenau,SC,Veterinário,Superior,6386.08,0.0,38.36,605,1700.97,9225.13,Frequentemente,6.64,2.2,Não,Não,Não,Em observação
219,24,Masculino,Casado,1,Brasília,DF,Contador,Superior,5617.82,0.0,51.07,649,3223.39,3657.37,Frequentemente,4.15,4.6,Sim,Não,Não,Em observação
220,36,Masculino,Solteiro,2,Florianópolis,SC,Cabeleireiro,Médio,3232.35,0.0,79.06,337,543.88,866.92,Nunca,1.46,6.5,Não,Não,Sim,Em risco
221,40,Feminino,Casado,1,Pelotas,RS,Cozinheiro,Médio,2990.82,0.0,51.06,666,1663.67,3829.23,Raramente,5.54,15.4,Não,Não,Não,Em observação
222,42,Feminino,Casado,3,Belém,PA,Desenvolvedor de Software,Superior,7646.38,0.0,45.47,594,3419.9,6098.87,Raramente,6.56,7.5,Não,Não,Sim,Em observação
223,43,Feminino,Solteiro,0,Anápolis,GO,Autônomo,Médio,8468.47,0.0,12.28,921,14499.25,18762.03,Às vezes,19.05,6.5,Não,Sim,Não,Saudável
224,19,Feminino,Divorciado,0,Guarulhos,SP,Advogado,Pós-graduação,16222.15,0.0,55.71,530,5708.83,12690.78,Às vezes,11.48,0.6,Não,Sim,Não,Em observação
225,47,Feminino,Solteiro,0,Duque de Caxias,RJ,Veterinário,Fundamental,8506.2,0.0,11.15,765,7356.16,11357.56,Sempre,23.13,12.9,Não,Sim,Sim,Saudável
226,23,Masculino,Casado,0,Florianópolis,SC,Analista de TI,Pós-graduação,8226.17,0.0,1.57,820,19457.23,15485.67,Frequentemente,17.28,3.1,Não,Não,Não,Saudável
227,41,Feminino,União Estável,2,Juiz de Fora,MG,Professor,Superior,2858.8,0.0,74.73,412,469.94,623.67,Raramente,0.81,0.1,Sim,Não,Não,Em risco
228,50,Feminino,Solteiro,0,Juazeiro do Norte,CE,Eletricista,Médio,3650.53,0.0,35.52,483,1203.09,3338.61,Frequentemente,7.41,16.3,Não,Não,Sim,Em observação
229,25,Feminino,Solteiro,2,Juazeiro do Norte,CE,Veterinário,Superior,3677.74,0.0,62.3,350,-119.03,2892.91,Nunca,1.06,1.5,Não,Não,Sim,Em risco
230,35,Masculino,Solteiro,1,Fortaleza,CE,Pedreiro,Pós-graduação,3213.75,0.0,41.98,551,832.14,2939.81,Raramente,3.33,2.9,Não,Não,Sim,Em observação
231,38,Masculino,Divorciado,1,Guarulhos,SP,Eletricista,Médio,2350.49,0.0,55.0,352,104.22,1032.95,Nunca,0.88,15.5,Sim,Não,Sim,Em risco
232,33,Masculino,Solteiro,2,Recife,PE,Vendedor,Pós-graduação,2786.93,0.0,29.34,587,1466.98,2443.72,Às vezes,6.55,2.3,Sim,Não,Não,Em observação
233,41,Masculino,Solteiro,0,Duque de Caxias,RJ,Aposentado,Médio,3678.37,0.0,47.76,505,668.28,4252.61,Frequentemente,9.96,3.2,Sim,Sim,Sim,Em observação
234,49,Masculino,Casado,1,Campinas,SP,Desenvolvedor de Software,Superior,12112.99,563.63,27.65,674,2411.54,7520.34,Frequentemente,5.56,21.9,Sim,Sim,Sim,Em observação
235,33,Masculino,Solteiro,1,Brasília,DF,Designer Gráfico,Superior,5662.51,533.12,10.94,781,14744.14,6863.49,Frequentemente,18.42,4.9,Sim,Não,Sim,Saudável
236,41,Masculino,Casado,1,Belém,PA,Cozinheiro,Médio,2438.87,101.48,54.88,575,742.99,3257.86,Raramente,7.79,17.7,Não,Não,Não,Em observação
237,19,Masculino,União Estável,0,Londrina,PR,Professor,Superior,5582.32,1889.42,10.63,778,7668.04,16853.57,Frequentemente,10.0,1.0,Não,Não,Não,Saudável
238,33,Masculino,União Estável,1,Pelotas,RS,Estudante,Médio,1887.37,550.22,19.01,800,1345.28,3781.82,Sempre,26.56,12.0,Não,Não,Não,Saudável
239,45,Masculino,Solteiro,0,Salvador,BA,Aposentado,Médio,4896.1,405.09,33.37,536,2907.67,5275.81,Às vezes,1.0,12.5,Sim,Sim,Sim,Em observação
240,49,Masculino,Solteiro,2,Florianópolis,SC,Motoboy,Fundamental,3450.35,0.0,15.24,909,9474.33,8098.41,Frequentemente,24.57,2.2,Não,Não,Sim,Saudável
241,50,Masculino,Casado,1,Rio de Janeiro,RJ,Aposentado,Superior,3792.73,0.0,68.4,446,-106.07,2631.24,Raramente,0.5,5.4,Sim,Não,Não,Em risco
242,23,Feminino,Solteiro,0,Vitória,ES,Corretor de Imóveis,Médio,5638.34,0.0,81.25,422,331.81,4607.56,Raramente,1.5,1.4,Não,Sim,Não,Em risco
243,33,Masculino,Casado,1,Maringá,PR,Autônomo,Fundamental,2198.03,0.0,66.54,480,423.02,1449.25,Às vezes,0.0,3.8,Não,Não,Não,Em risco
244,35,Masculino,Solteiro,1,São Luís,MA,Designer Gráfico,Superior,4701.93,0.0,58.0,558,689.92,4607.28,Às vezes,7.52,5.0,Sim,Não,Sim,Em observação
245,18,Masculino,Solteiro,0,Recife,PE,Analista de TI,Pós-graduação,9714.8,3168.59,12.2,832,21658.76,21081.47,Às vezes,18.38,0.0,Não,Não,Sim,Saudável
246,18,Feminino,Solteiro,0,São Luís,MA,Veterinário,Superior,4135.3,0.0,67.44,401,587.99,799.61,Raramente,0.0,0.0,Sim,Não,Sim,Em risco
247,37,Masculino,Solteiro,1,Santos,SP,Cabeleireiro,Médio,2787.83,0.0,34.79,710,1154.16,2413.34,Raramente,1.73,7.3,Sim,Sim,Não,Em observação
248,41,Masculino,Solteiro,1,Recife,PE,Jornalista,Superior,3980.86,0.0,87.19,489,81.53,1483.38,Às vezes,0.71,8.8,Sim,Não,Não,Em risco
249,28,Masculino,Casado,1,Maringá,PR,Eletricista,Médio,2224.05,0.0,60.24,475,-66.88,1397.1,Às vezes,0.0,0.8,Sim,Não,Não,Em risco
250,41,Masculino,Casado,0,Uberlândia,MG,Pedreiro,Fundamental,1918.08,0.0,85.08,442,48.42,534.82,Raramente,1.7,3.3,Sim,Sim,Não,Em risco
251,23,Outro,Solteiro,0,Guarulhos,SP,Enfermeiro,Fundamental,5184.94,0.0,11.27,793,9560.59,6439.79,Às vezes,28.83,4.9,Não,Não,Sim,Saudável
252,48,Feminino,Divorciado,0,Uberlândia,MG,Professor,Superior,6003.8,0.0,40.72,524,3698.34,4821.79,Raramente,10.26,23.7,Não,Não,Sim,Em observação
253,45,Feminino,Casado,0,Londrina,PR,Engenheiro de Produção,Superior,7250.82,0.0,84.73,466,425.14,5501.01,Nunca,0.41,2.8,Não,Não,Não,Em risco
254,24,Masculino,Solteiro,0,Goiânia,GO,Funcionário Público,Superior,11071.5,2128.97,26.82,789,16385.41,14556.63,Frequentemente,13.76,1.1,Não,Não,Sim,Saudável
255,58,Feminino,Casado,0,Curitiba,PR,Motorista,Pós-graduação,4240.47,0.0,7.23,804,5979.7,13391.67,Frequentemente,20.59,31.8,Não,Não,Não,Saudável
256,42,Feminino,Casado,1,Recife,PE,Analista Financeiro,Fundamental,11280.2,0.0,42.8,559,6481.92,11602.99,Nunca,6.73,10.4,Não,Não,Sim,Em observação
257,40,Feminino,União Estável,1,Rio de Janeiro,RJ,Advogado,Médio,7472.45,0.0,90.15,463,195.97,2128.7,Nunca,0.72,9.6,Sim,Sim,Sim,Em risco
258,43,Feminino,União Estável,1,Manaus,AM,Veterinário,Superior,5848.74,794.54,38.43,698,3749.28,3247.18,Nunca,4.97,7.3,Não,Sim,Sim,Em observação
259,36,Masculino,Casado,0,Manaus,AM,Analista de TI,Superior,9775.76,208.88,30.03,613,3304.81,10646.75,Às vezes,6.79,16.9,Sim,Não,Sim,Em observação
260,46,Masculino,Casado,1,Goiânia,GO,Recepcionista,Superior,2766.89,0.0,13.28,700,3358.5,5561.28,Sempre,23.63,16.8,Sim,Sim,Sim,Saudável
261,43,Feminino,Solteiro,0,Goiânia,GO,Médico,Pós-graduação,19441.86,0.0,25.0,637,11670.51,9853.18,Frequentemente,1.0,2.4,Não,Sim,Não,Em observação
262,34,Feminino,Casado,2,Palmas,TO,Motoboy,Superior,2416.45,0.0,75.3,509,124.23,648.61,Às vezes,2.62,5.1,Não,Não,Não,Em risco
263,39,Outro,Casado,1,Caxias do Sul,RS,Pedreiro,Fundamental,3861.65,0.0,25.52,794,5264.62,7968.96,Sempre,13.21,17.5,Não,Não,Sim,Saudável
264,30,Feminino,Casado,0,Olinda,PE,Pedreiro,Fundamental,2187.27,228.09,46.29,480,1381.99,2467.94,Frequentemente,7.77,7.4,Sim,Não,Não,Em observação
265,27,Feminino,Casado,1,Guarulhos,SP,Enfermeiro,Fundamental,4594.24,124.41,92.09,358,798.89,3797.76,Nunca,0.0,3.4,Sim,Não,Não,Em risco
266,19,Feminino,Casado,0,Maceió,AL,Advogado,Pós-graduação,10884.19,0.0,29.01,510,4539.79,17215.25,Raramente,1.0,1.0,Não,Não,Sim,Em observação
267,32,Masculino,Divorciado,0,Maceió,AL,Empresário,Superior,23276.49,0.0,41.67,500,4040.29,36046.85,Nunca,5.37,5.2,Sim,Sim,Sim,Em observação
268,33,Feminino,Solteiro,1,Belém,PA,Pedreiro,Fundamental,3125.44,0.0,33.88,554,984.53,4919.76,Frequentemente,2.28,3.9,Não,Sim,Não,Em observação
269,38,Masculino,Viúvo,2,Belém,PA,Motorista,Médio,2918.46,0.0,25.0,522,389.61,3711.47,Nunca,9.38,6.9,Sim,Não,Não,Em observação
270,49,Feminino,Casado,2,Vila Velha,ES,Aposentado,Superior,6054.19,2096.02,7.88,891,11753.0,18345.39,Às vezes,13.08,18.2,Não,Sim,Não,Saudável
271,48,Masculino,Casado,1,Goiânia,GO,Técnico em Informática,Superior,3237.5,43.97,55.0,397,89.22,897.55,Nunca,0.0,4.3,Sim,Sim,Não,Em risco
272,42,Feminino,Divorciado,2,Feira de Santana,BA,Engenheiro de Produção,Pós-graduação,9914.65,178.24,83.59,456,935.33,5973.43,Nunca,1.16,0.6,Sim,Sim,Sim,Em risco
273,42,Feminino,Casado,2,Porto Alegre,RS,Pedreiro,Fundamental,1720.53,0.0,55.0,404,114.96,386.6,Raramente,1.64,12.7,Não,Sim,Sim,Em risco
274,33,Feminino,União Estável,1,Santos,SP,Gerente Comercial,Superior,10427.33,0.0,67.6,365,1397.05,3572.08,Raramente,1.07,6.5,Sim,Sim,Não,Em risco
275,47,Masculino,União Estável,0,São Luís,MA,Engenheiro de Produção,Superior,13100.58,0.0,44.6,669,2234.86,15919.9,Sempre,9.96,13.2,Não,Sim,Sim,Em observação
276,44,Feminino,Solteiro,1,Porto Alegre,RS,Cozinheiro,Médio,2808.18,0.0,47.89,602,762.17,3026.8,Nunca,7.83,9.7,Não,Não,Não,Em observação
277,51,Masculino,Solteiro,0,Juazeiro do Norte,CE,Jornalista,Superior,2907.07,0.0,90.19,382,289.02,2205.85,Às vezes,0.89,5.3,Sim,Não,Não,Em risco
278,32,Masculino,Viúvo,0,São Paulo,SP,Motorista,Médio,3233.44,0.0,26.38,577,932.26,3560.42,Nunca,9.54,8.7,Não,Sim,Sim,Em observação
279,51,Feminino,Solteiro,1,Maceió,AL,Motorista,Fundamental,3677.17,0.0,42.67,520,1573.79,2947.75,Nunca,2.0,21.3,Não,Não,Não,Em observação
280,25,Feminino,Solteiro,0,Campinas,SP,Advogado,Pós-graduação,10747.66,0.0,82.56,336,-253.51,7727.52,Raramente,1.17,4.1,Sim,Não,Sim,Em risco
281,45,Feminino,Casado,0,Pelotas,RS,Cozinheiro,Médio,2793.26,0.0,80.4,404,-23.39,1811.58,Nunca,0.43,10.5,Sim,Não,Sim,Em risco
282,38,Masculino,Solteiro,1,Santos,SP,Advogado,Fundamental,14827.42,0.0,23.36,872,28262.64,40177.19,Frequentemente,14.7,8.5,Não,Não,Sim,Saudável
283,26,Masculino,Solteiro,3,Joinville,SC,Aposentado,Fundamental,3543.92,0.0,27.83,631,683.31,5546.8,Às vezes,6.8,6.1,Não,Não,Sim,Em observação
284,31,Feminino,Solteiro,1,Caxias do Sul,RS,Eletricista,Médio,5994.06,0.0,10.06,727,4883.61,9193.07,Sempre,23.25,5.0,Não,Não,Não,Saudável
285,52,Masculino,Solteiro,0,João Pessoa,PB,Enfermeiro,Superior,4797.8,0.0,50.3,600,2676.29,7632.28,Raramente,8.84,23.6,Não,Não,Não,Em observação
286,24,Masculino,Solteiro,2,Santos,SP,Estudante,Pós-graduação,2091.34,0.0,17.56,967,3233.87,4340.64,Frequentemente,11.8,6.0,Não,Não,Sim,Saudável
287,42,Feminino,Solteiro,0,Blumenau,SC,Corretor de Imóveis,Fundamental,11179.35,0.0,45.26,673,2699.07,14436.2,Nunca,8.52,15.7,Sim,Sim,Não,Em observação
288,46,Feminino,Casado,0,Fortaleza,CE,Eletricista,Médio,3163.05,437.27,29.05,637,2054.85,2317.17,Raramente,4.29,28.0,Não,Não,Não,Em observação
289,33,Masculino,União Estável,0,Palmas,TO,Pedreiro,Fundamental,3159.64,0.0,14.24,804,7567.66,6182.25,Às vezes,17.01,15.0,Não,Não,Não,Saudável
290,31,Feminino,Solteiro,0,Anápolis,GO,Eletricista,Médio,4431.73,0.0,47.48,589,2497.81,4389.52,Às vezes,8.35,2.4,Não,Não,Não,Em observação
291,35,Masculino,União Estável,1,Cuiabá,MT,Empresário,Superior,29319.03,0.0,7.72,953,55996.78,87171.07,Frequentemente,18.11,11.3,Não,Sim,Sim,Saudável
292,33,Feminino,Divorciado,0,Teresina,PI,Analista Financeiro,Pós-graduação,11228.91,0.0,15.42,959,10291.61,13668.26,Raramente,16.93,7.3,Não,Sim,Sim,Saudável
293,57,Feminino,Divorciado,0,Caxias do Sul,RS,Empresário,Superior,16274.13,0.0,67.96,325,149.4,9595.57,Raramente,1.13,6.6,Sim,Não,Sim,Em risco
294,20,Masculino,Solteiro,1,Belém,PA,Analista Financeiro,Superior,8798.94,0.0,39.47,710,5316.46,12150.46,Às vezes,4.22,1.8,Não,Não,Sim,Em observação
295,18,Masculino,Solteiro,1,Salvador,BA,Designer Gráfico,Pós-graduação,7304.99,1749.28,10.39,733,10422.81,10214.51,Frequentemente,20.75,0.0,Não,Sim,Sim,Saudável
296,46,Masculino,Casado,1,Niterói,RJ,Professor,Superior,3748.16,0.0,38.58,629,600.51,5856.2,Raramente,1.11,7.1,Não,Não,Não,Em observação
297,50,Masculino,Solteiro,0,Goiânia,GO,Gerente Comercial,Superior,6613.87,523.56,93.77,480,801.48,1973.95,Nunca,0.24,5.7,Sim,Sim,Não,Em risco
298,37,Feminino,Solteiro,2,Teresina,PI,Técnico em Informática,Médio,5815.97,546.6,13.7,869,11375.1,7500.98,Frequentemente,16.95,7.4,Não,Não,Não,Saudável
299,44,Feminino,Divorciado,1,Brasília,DF,Veterinário,Superior,8650.38,0.0,38.84,553,4695.56,12414.56,Raramente,7.78,1.3,Não,Sim,Sim,Em observação
